image_a,plate_id_a,image_b,plate_id_b,decision,basis,cross_original_split
data_raw/uc3m/test/00014.jpg,AN-07*6*YR,data_raw/uc3m/train/01933.jpg,AD-0*86L*R,same,assumed_compatible_text,True
data_raw/uc3m/test/00015.jpg,AN-4*73B*W,data_raw/uc3m/test/00211.jpg,AD-48*3*TW,same,assumed_compatible_text,False
data_raw/uc3m/test/00015.jpg,AN-4*73B*W,data_raw/uc3m/train/00116.jpg,AD-467*BS*,same,assumed_compatible_text,True
data_raw/uc3m/test/00015.jpg,AN-4*73B*W,data_raw/uc3m/train/00221.jpg,AD-48*3*TW,same,assumed_compatible_text,True
data_raw/uc3m/test/00015.jpg,AN-4*73B*W,data_raw/uc3m/train/01920.jpg,AD-*173*WW,same,assumed_compatible_text,True
data_raw/uc3m/test/00022.jpg,AN-444**PC,data_raw/uc3m/train/01420.jpg,AD-44*8KP*,same,assumed_compatible_text,True
data_raw/uc3m/test/00035.jpg,AD-879*KX*,data_raw/uc3m/train/00163.jpg,AD-87*7*XM,same,assumed_compatible_text,True
data_raw/uc3m/test/00035.jpg,AD-879*KX*,data_raw/uc3m/train/00383.jpg,AN-879**XR,same,assumed_compatible_text,True
data_raw/uc3m/test/00038.jpg,AD-*330*SZ,data_raw/uc3m/train/01573.jpg,AD-233*C*Z,same,assumed_compatible_text,True
data_raw/uc3m/test/00076.jpg,AD-8*58KS*,data_raw/uc3m/train/01066.jpg,AD-82*8KS*,same,assumed_compatible_text,True
data_raw/uc3m/test/00077.jpg,AD-630*CX*,data_raw/uc3m/train/01644.jpg,AD-6*00C*C,same,assumed_compatible_text,True
data_raw/uc3m/test/00077.jpg,AD-82*7*TX,data_raw/uc3m/train/00604.jpg,AD-8*17*TX,same,assumed_compatible_text,True
data_raw/uc3m/test/00093.jpg,AD-0*66*RF,data_raw/uc3m/test/00132.jpg,AD-036*DR*,same,assumed_compatible_text,False
data_raw/uc3m/test/00093.jpg,AD-0*66*RF,data_raw/uc3m/train/00092.jpg,AD-0*66*RF,same,assumed_compatible_text,True
data_raw/uc3m/test/00093.jpg,AD-0*66*RF,data_raw/uc3m/train/00131.jpg,AD-0*66*RF,same,assumed_compatible_text,True
data_raw/uc3m/test/00093.jpg,AD-0*66*RF,data_raw/uc3m/train/00283.jpg,AD-0*66HR*,same,assumed_compatible_text,True
data_raw/uc3m/test/00093.jpg,AD-0*66*RF,data_raw/uc3m/train/00545.jpg,AD-036*DR*,same,assumed_compatible_text,True
data_raw/uc3m/test/00093.jpg,AD-0*66*RF,data_raw/uc3m/train/01640.jpg,AD-09*6LR*,same,assumed_compatible_text,True
data_raw/uc3m/test/00093.jpg,AD-8*09JZ*,data_raw/uc3m/train/00292.jpg,AN-8*09JZ*,same,assumed_compatible_text,True
