group_id,source,n_images,n_plates,original_train,original_test
g_f4cfdc3c3900d3c2,uc3m,406,689,314,92
g_2d2ad90e5c5e63aa,uc3m,36,57,31,5
g_83ae8f5ba117fee3,uc3m,18,36,17,1
g_f63e6c473156bdf4,uc3m,14,21,12,2
g_a36330f1784654ef,uc3m,12,25,11,1
g_b9aa2582ead1fb65,uc3m,12,16,12,0
g_1580c0403da19b96,uc3m,11,16,6,5
g_f8086cf86b742658,uc3m,11,16,6,5
g_9ac94bd3810a499f,uc3m,10,11,9,1
g_230e2a4e8128540f,uc3m,9,15,7,2
g_580a191b79148bd2,uc3m,9,12,8,1
g_e954481018e268bd,uc3m,9,12,7,2
g_ea064e458adbb827,uc3m,9,10,9,0
g_1f0d87e61ba9cbc0,uc3m,8,17,5,3
g_66ae57a29dc4b138,uc3m,8,12,7,1
g_8bdd3db6525857fd,uc3m,8,13,5,3
g_3f4428c2998c91e4,uc3m,7,12,5,2
g_c4ee0d22d46aa082,uc3m,7,9,5,2
g_1f68e64850f17025,uc3m,6,7,6,0
g_5ff5751b7e4b77af,uc3m,6,11,4,2
g_6390ec33ba7bae1f,uc3m,6,7,6,0
g_83271f571e22f57d,uc3m,6,6,5,1
g_9f1babe1cbd56df3,uc3m,6,7,6,0
g_ae84da237b06f063,uc3m,6,9,4,2
g_bd4d825953b82caa,uc3m,6,7,6,0
g_c1228c235d633d4d,uc3m,6,7,5,1
g_ef5d111facb0cb8d,uc3m,6,8,4,2
g_0394434f293ce29c,cv,5,5,0,0
g_03e3b6d36d6bfb45,uc3m,5,5,5,0
g_214203642eceef1d,uc3m,5,6,4,1
g_2dceb6a1e3e65c89,uc3m,5,6,3,2
g_6aaa97083ce4fed4,uc3m,5,7,4,1
g_a1ff654a7fa655af,uc3m,5,6,5,0
g_aa7644a90f4f2033,uc3m,5,6,5,0
g_adf0d592e4b30570,uc3m,5,6,5,0
g_d63153a3c888b893,uc3m,5,6,5,0
g_e4969af7e6230d58,uc3m,5,5,3,2
g_e697f073b7b1bee1,uc3m,5,8,3,2
g_0aee3a0464839552,uc3m,4,6,4,0
g_277f1159ce8383e3,cv,4,4,0,0
g_3a8729692c21afec,uc3m,4,5,3,1
g_49bd858aca235d6b,uc3m,4,7,4,0
g_5afe46c1e616f0a8,uc3m,4,5,3,1
g_7368f398c2f5d71c,cv,4,4,0,0
g_7439df94808ac191,uc3m,4,4,3,1
g_7e1ee563113ab16f,cv,4,4,0,0
g_87041999c1879847,uc3m,4,6,1,3
g_9777e29bfd593269,uc3m,4,5,4,0
g_9ca82643dd52eb4b,uc3m,4,5,3,1
g_a2fc7d8588e8d4f5,uc3m,4,5,2,2
g_a8edc773fa122aaf,uc3m,4,4,3,1
g_acdf9d1e63afd582,cv,4,4,0,0
g_b9cca63e547959bf,uc3m,4,4,4,0
g_bb2cc4ae2de16143,uc3m,4,4,2,2
g_be8603013397937f,uc3m,4,5,4,0
g_c0353cc21bf73605,uc3m,4,5,4,0
g_c317d7429409bf61,uc3m,4,6,3,1
g_cb5d42a95c88789e,uc3m,4,6,4,0
g_cfdd58acfc72e423,uc3m,4,8,3,1
g_d1931177dd8ff62b,uc3m,4,7,4,0
g_d6d42f59eb4715c0,uc3m,4,5,4,0
g_db48305c52b81e13,uc3m,4,4,3,1
g_dbedc707a2e3b85e,uc3m,4,8,3,1
g_dcad4d3308c74d24,uc3m,4,5,4,0
